county,eat5plusveg,noeat5plusveg,always_availableveg,usually_availableveg,sometimes_availableveg,never_availableveg,doesn’t_eat_veg,underweight,normalweight,overweight,obese,diabetes,never_diabetes,always_affordveg,usually_affordveg,sometimes_affordveg,never_affordveg,population,income 5000_or_less,income 5001_to_10000,income 10001_to_15000,income 15001_to_20000,income 20001_to_30000,income 30001_to_40000,income 40001_to_50000,income 50001_to_60000,income 60001_to_70000,income 70001_to_80000,income 80001_to_90000,income 90001_to_100000,income 100001_to_135000,income 135000_above,Currently receiving food stamps,Currently not receiving food stamps,Has been Diagnosed with Heart Disease ,Has been Diagnosed with Heart Disease,Population,Latino,White,Black,American_Indian/Alaska_Native,Asian,Native_Hawaiian/Pacific_Islander,Mixed
alameda,50.2,49.8,75.8,11.9,7.5,3.5,1.4,2,42.4,33.0,22.6,8.2,91.8,52.8,28.9,16.9,1.4,1151000.0,2.8,2.7,4.5,4.7,6.6,6.9,6.4,5.8,5.2,5.7,3.8,5.8,9.3,29.7,33.4,66.6,5.7%,94.3%,"1,230,000",21.4,35.1,11.3,0.3,28.2,0.7,3.1
all,48.7,51.3,76.8,10.7,8.2,3.6,0.8,2,36.7,34.2,27.1,9.8,90.2,49.9,29.5,19.3,1.4,27422000.0,3.9,3.6,5.5,5.5,10.4,8.5,7.6,6.1,5.1,6.0,4.0,5.8,8.5,19.6,28.1,71.9,6.5%,93.5%,"29,008,000",36.2,41.3,5.6,0.5,14.1,0.4,2.1
butte,48.4,51.6,73.1,12.3,8.6,4.8,1.1,1.6,37.5,32.5,28.5,8.4,91.6,50.1,31.1,17.3,1.5,163000.0,5.5,3.3,7.1,6,12.1,10.6,8.8,8.4,4.9,6.3,4.1,4.7,7.9,10.3,29.3,70.7,6.9%,93.1%,"169,000",14.6,75.2,1.3*,1.4,4,,3.1
contracosta,49.3,50.7,78.8,11.2,5.7,3.6,0.7,1.5,37.3,34.1,27.0,9.6,90.4,53.3,29.0,16.4,1.3*,816000.0,2.7,1.8,3.1,3.2,7.1,6.6,6.5,5.2,4.8,6.0,4.6,7.1,9.6,31.5,18.3,81.7,6.5%,93.5%,"868,000",23.4,47.7,8.7,0.3*,16.5,0.5*,2.9
delnortesiskiyoulassentrinitymodocplumassierra,51.4,48.6,60.3,14.8,13.3,9.7,1.9,1.8,35.3,33.2,29.7,9.1,90.9,40.9,30.7,24.2,4.2*,96000.0,5.5,4.1,7.1,4.9,13.4,10.6,7.1,7.1,7.6,7.5,4.4,4.2,7.3,9.1,27.5,72.5,9.1%,90.9%,"107,000",11.7,79.4,0.5*,3.3,0.8,0.8*,3.5
eldorado,52.7,47.3,79.5,8.0,5.1,6.0,1.5,2.4*,40.2,35.2,22.2,6.8,93.2,52.8,31.2,15.0,0.9*,131000.0,3.3,1.7,4.0,3,10.0,6.7,6.9,6.5,5.3,5.3,4.3,6.7,11.9,24.4,18.3,81.7,8.6%,91.4%,"146,000",12.0,79.7,1.2,1,3.5,,2.4
fresno,47.5,52.5,69.2,13.3,11.8,5.1,0.6,1.6,26.5,34.7,37.2,10.5,89.5,44.7,31.4,22.3,1.7*,637000.0,5.6,5.7,7.7,6.4,14.1,9.6,8.3,6.8,4.9,6.0,3.9,6.0,6.8,8.3,35.5,64.5,7.3%,92.7%,"693,000",48.5,34.4,5.1,0.9,9.6,,1.4
humboldt,54.3,45.7,77.9,9.0,7.0,5.0,1.0,1.8,36.6,31.9,29.7,7.4,92.6,43.9,30.2,23.3,2.6*,96000.0,5.4,5.3,7.0,6.3,13.7,10.1,10.2,7.1,5.7,6.7,4.5,4.0,6.1,7.9,36.4,63.6,8.2%,91.8%,"102,000",11.5,78.1,0.7,3.3,2,,3.8
imperial,46.1,53.9,66.9,13.7,11.7,6.2,1.6,1.8,23.4,34.6,40.2,16.5,83.5,40.4,33.5,24.9,1.2,109000.0,5.2,7.4,10.0,8,17.8,10.8,6.6,6.1,4.1,3.9,3.2,4.1,5.4,7.4,31.2,68.9,7.7%,92.3%,"120,000",81.3,14.3,0.9,0.8,1.9,,0.8
kern,53.4,46.6,69.9,13.3,10.1,6.1,0.6,1.1,25.6,32.8,40.5,10.8,89.2,42.6,32.1,23.5,1.7*,543000.0,4.8,6.0,7.6,7.7,13.1,11.3,7.5,7.3,5.4,5.2,3.8,4.6,5.6,10.1,34.8,65.2,6.3%,93.7%,"594,000",47.9,41.5,4.5,0.9,3.8,0.2,1.1
